  Skhirate-Témara ,"14,9","345,8","150,6",-,الصخيرات ــ تمارة
Béni  Mellal - Khénifra ,"1 412,7","2 031,4","2 695,7",-,بني ملال ــ خنيفرة
  Azilal,"217,3","163,5","285,3",-,أزيلال
  Béni  Mellal,"396,6","355,4","335,0",-,بني ملال
  Fquih Ben Salah,"179,3","400,5","136,7",-,فقيه بن صالح
  Khénifra ,"378,5","538,5","367,9",-,خنيفرة
  Khouribga ,"241,1","573,5","1 570,8",-,خريبكة
Casablanca- Settat,"2 349,2","4 307,2","2 647,2","4,8",الدار البيضاء - سطات
  Benslimane ,"212,1","545,9","145,8",-,بنسليمان
  Berrechid,"362,3","645,5","298,4",-,برشيد
  El Jadida,"404,5","1 237,0","619,8","4,0",الجديدة
  Mediona,"71,8",-,"68,8",-,مديونة
  Mohammadia ,"1,7","66,8","59,7",-,المحمدية
  Nouaceur,"6,6","94,7","174,2",-,النواصر
  Settat ,"678,3","976,7","995,2",-,سطات
  Sidi Bennour,"612,0","740,6","285,4","0,8",سيدي بنور
Marrakech - Safi,"481,2","433,4","599,1","79,7",مراكش ــ آسفي
  Al Haouz,"56,3","21,3","83,9",-,الحوز
  Chichaoua ,"3,9","3,7","4,0",-,شيشاوة
  El Kelâa des Sraghna ,"164,5","76,1","68,2",-,قلعة السراغنة
  Essaouira ,"30,4","28,5","74,7","14,9",الصويرة
  Marrakech,"21,9","15,0","17,9",-,مراكش 
  Rehamna,"66,5","92,6","77,2",-,الرحامنة 
  Safi,"128,8","140,7","219,9","64,8",آسفي
  Youssoufia,"8,9","55,5","53,3","0,0",اليوسفية
Drâa- Tafilalet,"340,4","458,8","159,7",-,درعة ــ تافيلالت
  Errachidia ,"61,5","26,1","5,2",-,الرشيدية
  Midelt,"139,4","106,9","82,1",-,ميدلت 
  Ouarzazate ,"16,3","167,5","47,9",-,ورزازات 
  Tinghir,"121,4","107,1","19,3",-,تنغير
  Zagora ,"1,8","51,2","5,2",-,زاكورة
Souss - Massa ,"18,9","30,9","42,8","5,6",سوس ــ ماسة
 Agadir-Ida-Ou-Tanane ,"0,9","2,8","7,9",-, أكادير-إداوتنان
 Chtouka-Aït Baha ,"0,8","4,9","2,3","0,5",اشتوكة  أيت باها
 Inezgane-Aït Melloul ,"0,4","3,1","0,9",-,إنزكان  أيت ملول
 Taroudant,"16,3","12,3","21,1",-,تارودانت
 Tata,"0,5","7,6","10,3",-,طاطا
 Tiznit ,"0,0","0,2","0,3","5,1",تيزنيت
Guelmim - Oued Noun,"0,1","9,6","9,9",-,كلميم ــ واد نون
Assa-Zag,-,"0,1",-,-,أسا ــ الزاك
Guelmim,"0,1","9,2","9,0",-,كلميم 
Sidi Ifni,-,"0,3","0,9",-,سيدي افني 
,,,,,
,,,,,
Total,"11 787,4","29 797,3","13 481,1","109,0",المجموع
,,,,,
"Source : Ministère de l'Agriculture, de la Pêche Maritime, du Développent Rural et des Eaux et Forêts",,,,,المصدر : وزارة الفلاحة والصيد البحري والتنمية القروية والمياه والغابات.         
